,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
141,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
142,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.30000000000000004
143,,,,,,,,,
144,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
145,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.4
146,,,,,,,,,
147,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
148,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.5
149,,,,,,,,,
150,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
151,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.6000000000000001
152,,,,,,,,,
153,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
154,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.7000000000000001
155,,,,,,,,,
156,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
157,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.8
158,,,,,,,,,
159,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
160,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,0.9
161,,,,,,,,,
162,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1,
163,Statlog Shuttle,0.0,KMeans,0.96766744,1,KMeans,0.22317597,1.0,1.0
164,,,,,,,,,
165,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
166,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.0
167,,,,,,,,,
168,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
169,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.1
170,,,,,,,,,
171,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
172,Object Images,0.0,Gaussian,0.06772229,1,Gaussian,0.81503172,0.84736428,0.2
173,,,,,,,,,
174,Statlog Shuttle,0,KMeans,0.96766744,0,KMeans,0.96766744,1,
